,Accession,Protein,Organism_Name,Species,Genotype,Isolate,Length,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
294,QMJ53978.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041190,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
295,QMJ53987.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098161,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
296,QMJ53996.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041193,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
297,QMJ54005.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103172,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
298,QMJ54014.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041364,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
299,QMJ54023.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098167,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
300,QMJ54032.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041184,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
301,QMJ54041.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103221,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
302,QMJ54047.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0100860,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
303,QMJ54056.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041304,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
304,QMJ54065.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041169,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
305,QMJ54074.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041179,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
306,QMJ54083.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041198,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
307,QMJ54092.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103204,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
308,QMJ54101.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0100873,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
309,QMJ54110.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098190,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
310,QMJ54119.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041244,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
311,QMJ54128.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0100836,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
312,QMJ54137.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041370,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
313,QMJ54146.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041310,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
314,QMJ54155.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098156,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
315,QMJ54164.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098224,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
316,QMJ54173.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103216,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
317,QMJ54182.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041307,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
318,QMJ54191.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103195,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
319,QMJ54200.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041199,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
320,QMJ54209.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103207,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
321,QMJ54218.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098180,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
322,QMJ54227.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0100842,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
323,QMJ54234.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103225,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
324,QMJ54242.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041235,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
325,QMJ54251.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0043116,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
326,QMJ54258.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098195,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
327,QMJ54267.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0100857,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
328,QMJ54276.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0043131,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
329,QMJ54285.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0043094,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
330,QMJ54294.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041334,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
331,QMJ54303.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098219,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
332,QMJ54312.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098206,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
333,QMJ54321.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041328,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
334,QMJ54330.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0098159,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
335,QMJ54339.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041232,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
336,QMJ54348.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041166,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
337,QMJ54357.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041262,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
338,QMJ54366.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041188,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
339,QMJ54375.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103215,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
340,QMJ54384.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0041192,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
341,QMJ54392.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,DL0103228,505,Guatemala,Homo sapiens,cervix,"Lou,H., Boland,J.F., Torres-Gonzalez,E., Albanez,A., Zhou,W., Steinberg,M.K., Diaw,L., Mitchell,J., Roberson,D., Cullen,M., Garland,L., Bass,S., Burk,R.D., Yeager,M., Wentzensen,N., Schiffman,M., Alvirez Freites,E., Gharzouzi,E., Mirabello,L., Dean,M., Freites,E.A.",,2020-08-03,dsDNA
342,BBP42198.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,SW061,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
343,BBP42206.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,SW063,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
344,BBP42214.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,SW064,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
345,BBP42222.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,SW069,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
346,BBP42230.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,SW070,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
347,BBP42238.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,TK171,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
348,BBP42246.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,TK174,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
349,BBP42254.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,TK179,531,Japan,Homo sapiens,,"Yamaguchi,M., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T., Matsumoto,K., Kukimoto,I.",,2019-11-26,dsDNA
350,QGC89586.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,HPV16/Kp/L1/2019,531,Iran,,,"Ghobakhloo,R., Ebadi,M., Shafaati,M.",2019-05-20,2019-11-13,dsDNA
351,QEG53826.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,xuca1916,531,China,Homo sapiens,,"Xu,H., Zhang,W.",2018,2019-08-26,dsDNA
352,QDH43415.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,MazC1,531,Iran,Homo sapiens,cervix,"Mousavi,T., Rafiei,A., Haghshenas,M.R., Sadeghain-Kiadehi,S.F., Valadan,R.",,2019-07-07,dsDNA
353,BBI16004.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,K0013,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T.",,2019-03-14,dsDNA
354,BBI16012.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,K0075,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T.",,2019-03-14,dsDNA
355,BBI16020.1,L1 protein,Human papillomavirus type 16,Alphapapillomavirus 9,,K0183,531,Japan,Homo sapiens,,"Kukimoto,I., Matsumoto,K., Hirose,Y., Tenjimbayashi,Y., Onuki,M., Iwata,T.",,2019-03-14,dsDNA
